gene	region	min	max	q1	median	q3	mean	sd
ALX3	NA	17	76	40	58	62	51.0273	16.5115
SF3B4	NA	47	103	66	73	86	74.8547	14.1077
MYCN	NA	21	99	43	64	74	60.1331	19.9065
POLR1A	NA	47	112	68	74	82	74.9286	10.458
POLR2D	NA	50	101	70	79.5	86	77.4384	12.6856
POLR2H	NA	65	100	77	86	92	84.449	9.75634
FGFR3	NA	32	99	60	68	76	67.0752	12.261
EVC2	NA	41	108	64	75	85	73.5853	14.2442
EVC	NA	12	114	64	71	80	71.4799	17.8936
POLR2B	NA	60	111	77	84	89	82.5448	8.88189
EDNRA	NA	47	101	71	79	85	76.9922	12.7572
NIPBL	NA	54	109	73	80	87	80.5504	10.5603
PDE4D	NA	53	106	75	84	89	82.0597	10.6536
ZSWIM6	NA	2	118	67	84	92	71.9166	30.6267
POLR3G	NA	57	99	76	81	86	81.1828	8.63413
TCOF1	NA	45	110	64	73	80	72.4703	10.6382
POLR1C	NA	51	95	63	68	74	69.6472	8.86586
TWIST1	NA	24	54	28	32	44	36.4876	9.5899
POLR2J	NA	13	70	40	53	59	49.3448	12.3532
SHH	NA	60	98	71	75	82	76.506	8.54539
LMBR1	NA	40	119	78	84	95	85.1867	12.9333
FGFR1	NA	49	98	65	74	80	72.7312	9.43916
CHD7	NA	38	111	72	78	84	77.9968	11.8346
POLR2K	NA	71	87	76	79	83	79.2164	4.08892
RAD21	NA	56	112	74	80	88	81.7989	10.939
POLR1E	NA	62	109	74	81	86	80.7743	9.84856
SMC3	NA	51	115	75	83	89	82.2747	11.1581
FGFR2	NA	61	114	72	79	84	79.6066	9.99372
POLR2L	NA	35	87	37	76	81	60.5528	21.6618
ALX4	NA	50	87	61	71	79	70.2417	9.68819
POLR2G	NA	48	93	64	69	76	69.7657	9.19037
ETS1	NA	57	111	67	72	77	73.5657	9.40958
ALX1	NA	56	119	65	74	90	78.8593	17.0612
POLR1D	NA	60	100	77	81	88	81.9559	9.11592
TCF12	NA	49	111	73	82	92	82.3277	12.7933
CREBBP	NA	47	118	66	72	80	73.1528	10.8011
SRCAP	NA	44	98	64	70	75	70.3477	9.15674
POLR2C	NA	49	101	71	82	87	78.9277	11.2814
DHODH	NA	53	92	63	71	78	70.432	8.6072
POLR2A	NA	44	90	63	71	77	69.3518	9.74655
EFTUD2	NA	48	106	67	74	83	74.9783	11.2575
PRKAR1A	NA	59	104	71	82	89	80.5305	10.6128
POLR2E	NA	44	108	58	64	71.75	66.8058	13.2293
POLR2I	NA	55	88	62	66	76	68.4986	8.87435
POLR2F	NA	47	92	56	66	79	67.8547	12.7765
EP300	NA	55	109	68	74	81	74.872	9.25211
SMC1A	NA	22	54	30	35	38	34.8255	5.74729
EFNB1	NA	16	52	26	35	39	33.1646	8.85213
HDAC8	NA	17	50	35	39	44	39.0446	6.03426
