gene	region	min	max	q1	median	q3	mean	sd
ALX3	NA	23	98	52	73	81	68.7063	16.1191
SF3B4	NA	59	93	72	76	79	76.1327	5.48815
MYCN	NA	26	93	39	63	70	56.7345	18.364
POLR1A	NA	46	101	70	76	82	76.0935	9.07271
POLR2D	NA	52	91	63	71	79	71.3104	10.3405
POLR2H	NA	66	107	76	89	96	86.6621	11.2682
FGFR3	NA	29	93	66	72	77	70.457	11.5282
EVC2	NA	42	117	74	82	92	81.9567	13.1505
EVC	NA	32	107	69	77	83	75.2085	13.2813
POLR2B	NA	58	115	78	86	92	85.4807	10.151
EDNRA	NA	54	103	74	82	89	81.6444	9.42166
NIPBL	NA	56	118	76	83	89	83.419	10.7318
PDE4D	NA	68	118	80	84	92	86.2976	9.86715
ZSWIM6	NA	3	111	69	80	89	70.4586	28.6229
POLR3G	NA	65	111	83	95	99	91.139	11.2971
TCOF1	NA	50	121	69	74	81	75.1108	9.37258
POLR1C	NA	59	102	72	79	85	78.9903	8.65828
TWIST1	NA	40	83	65	71	73	67.495	10.8612
POLR2J	NA	51	83	60	68	77	67.9443	9.02925
SHH	NA	65	98	81	87	90	84.623	7.95328
LMBR1	NA	45	119	78	87	95	85.761	12.4011
FGFR1	NA	51	106	69	76	82	76.2601	10.4154
CHD7	NA	49	112	74	81	88	81.7014	10.4947
POLR2K	NA	74	105	82	87	95	88.3099	7.81234
RAD21	NA	46	116	74.5	82	94	83.9771	13.5579
POLR1E	NA	60	104	77	82	89	81.9141	9.10774
SMC3	NA	66	127	77	85	91	85.6781	11.2721
FGFR2	NA	63	106	77	83	88	82.8314	8.85297
POLR2L	NA	58	80	67	71	73	69.7186	4.91242
ALX4	NA	49	95	69	75	82	75.2742	9.1147
POLR2G	NA	59	88	68	72	77	72.7421	6.10235
ETS1	NA	61	100	74	79	86	79.4744	7.85645
ALX1	NA	59	108	77	83	93	84.5113	10.6226
POLR1D	NA	65	107	78	89	95	87.3223	10.0145
TCF12	NA	60	116	78	85	94	85.9487	11.7007
CREBBP	NA	30	111	68	75	82	75.4462	10.9095
SRCAP	NA	46	100	68	75	80	73.7841	9.57677
POLR2C	NA	66	110	78	84	91	84.989	10.4718
DHODH	NA	54	103	73	81	86	79.5128	9.5084
POLR2A	NA	47	99	65	71	78	71.6732	9.01564
EFTUD2	NA	51	104	72	79	85	77.816	9.79702
PRKAR1A	NA	63	108	75	83	91	83.5578	10.5641
POLR2E	NA	37	79	56	61	65	60.6661	7.62573
POLR2I	NA	47	85	51	54	72	61.5881	11.8853
POLR2F	NA	59	100	73	78	86	79.4765	9.09009
EP300	NA	49	110	69	78	87	78.3791	11.8387
SMC1A	NA	23	63	36	41	47	41.9755	7.90023
EFNB1	NA	29	63	36	42	52	44	8.59377
HDAC8	NA	16	58	33	39	45	39.3339	8.73024
